@relation dataset

@attribute value_0 numeric
@attribute value_1 numeric
@attribute value_2 numeric
@attribute value_3 numeric
@attribute value_4 numeric
@attribute value_5 numeric
@attribute value_6 numeric
@attribute value_7 numeric
@attribute value_8 numeric
@attribute value_9 numeric
@attribute value_10 numeric
@attribute value_11 numeric
@attribute value_12 numeric
@attribute value_13 numeric
@attribute value_14 numeric
@attribute value_15 numeric
@attribute value_16 numeric
@attribute value_17 numeric
@attribute value_18 numeric
@attribute value_19 numeric
@attribute value_20 numeric
@attribute value_21 numeric
@attribute value_22 numeric
@attribute value_23 numeric
@attribute value_24 numeric
@attribute value_25 numeric
@attribute value_26 numeric
@attribute value_27 numeric
@attribute value_28 numeric
@attribute value_29 numeric
@attribute value_30 numeric
@attribute value_31 numeric
@attribute value_32 numeric
@attribute value_33 numeric
@attribute value_34 numeric
@attribute value_35 numeric
@attribute value_36 numeric
@attribute value_37 numeric
@attribute class {class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,class_14,class_15,class_16}

@data
312,498,5.35,7.7,118,59,77,37.7,4,122,7.8,148,84,46.5,5,139,7.8,39,68,52,48.4,0.3,200,7.9,15,128,7,82.9,285,63.3,56.3,94,78.9,68,90.9,70.7,94.6,100,class_1
330,457,2.2,7.9,117,66,41,56.4,4,104,7.9,146,79,50,6,117,7.9,62,60,29,65.9,0.2,119,7.9,10,28,3,92,53,46.4,67.6,97.5,87.6,73.8,93.2,82,94.7,100,class_1
347,458,0.2,7.7,153,109,89,51,4.5,96,7.7,52,49,56.4,2.5,125,7.7,84,94,57,52.2,0.6,83,7.9,7,29,3,78,104,7.5,36.8,76,91.9,77.4,95.5,84.5,96.5,100,class_1
364,324,4,7.5,203,275,116,56.8,6,194,7.6,117,108,64.4,6,222,7.6,97,183,29,77.3,0.2,170,7.6,11,93,4,70.9,150,30.2,74.7,96.7,89.9,65.7,96.6,82.4,97,100,class_1
206,0,0.4,7.6,118,249,52,52.4,4,397,7.5,147,17,66.2,2.5,376,7.4,44,56,19,75.3,0.1,375,7.6,14,48,27,71.8,380,61.1,50.7,96,81.1,63.4,91.3,86.5,83.8,100,class_1
453,490,0.3,8.1,3,6,33,40.7,2,174,8,1,16,45.2,1.1,147,7.9,4,7,9,63.5,0.1,1,8.1,4,7,7,80,191,25.4,56.8,90.9,81.8,72.8,87.5,80.7,91.9,100,class_1
470,359,0.35,8,4,4,113,20.3,1.6,199,8.1,7,123,19.9,2.5,185,8,9,7,24,46.3,0.2,195,8,7,3,5,76.7,210,43,80.6,92,77.6,78.9,83.3,84.2,96.7,100,class_1
488,437,2.5,7.7,1,5,68,25.6,1.4,197,7.9,2,76,24.8,1.9,197,7.8,2,5,26,47.6,0.2,175,8,1,33,5,83.3,195,41.3,68.4,89.5,86.5,46.4,89.6,61.5,95,100,class_1
507,464,2,8.1,5,2,16,39.1,1.4,13,8.1,56,33,38.9,1.9,16,8.2,10,1,8,59.7,0.1,21,8,4,25,2,88.9,12,64.7,65.6,94.7,84.9,48,88.4,58.7,93.5,100,class_1
524,424,1.2,7.8,6,13,3,48.2,1.3,42,7.9,31,40,41.2,2.8,59,7.9,4,2,2,61.1,0.2,55,8,8,26,9,62.5,45,64.8,72.2,94.5,72.7,47.5,82.9,71.8,85.7,100,class_1
65,475,0.7,7.8,0,0,51,20.2,0.8,1,7.8,0,66,25.2,1.5,1,7.8,16,0,72,20.2,0.7,4,7.9,0,4,5,73.3,3,29.1,5.3,53.3,64.7,68.8,90.3,69.1,94.2,100,class_1
82,394,2,7.8,9,36,71,30.6,2.5,17,7.9,3,78,28.9,3,22,7.9,0,8,17,45.1,0.3,20,8,3,35,2,93.3,16,63.4,73.7,90,73.1,48.3,90.9,75.8,96.4,100,class_1
117,221,0.8,7.8,23,36,64,37.6,2.5,33,7.8,11,27,50,1.3,25,7.8,52,16,33,52.6,0.4,47,8,7,31,3,76,28,28.4,43.5,68,84.9,58.6,89,77.3,95.7,100,class_1
151,77,0.8,8,96,77,27,67.5,2.5,66,7.9,36,25,61,2.5,79,7.9,82,38,27,65.9,0.3,58,8.1,7,71,8,66.7,47,32.8,48.2,88,84.8,45.3,74.7,69.5,90.6,100,class_1
258,210,1,7.5,39,135,41,67,5,366,7.5,27,38,63.2,3.5,329,7.6,25,45,14,72.1,0.2,316,7.7,12,74,8,61.3,270,38,64.2,95.7,78.7,46.8,87.3,74.6,92,100,class_1
345,377,0.6,7.9,13,43,2,59.7,1.5,171,7.8,45,42,85,4,154,7.8,16,29,11,80.5,0.2,174,7.9,11,39,16,82.9,179,53.2,67.2,95,76.9,69,82.4,73.3,79.1,100,class_1
379,209,0.9,7.5,40,51,41,64.9,2.8,393,7.6,49,54,63.2,3.5,402,7.6,63,46,31,70,0.4,382,7.7,9,35,7,85.7,381,20.3,58.6,90,92.9,67.7,90.9,78.2,92.6,100,class_1
419,390,0.7,8.1,44,53,19,51,1.3,273,8.3,49,41,61,3,313,8.3,30,43,20,75,0.2,314,8.3,7,37,6,84.2,320,44.1,62.2,93.3,86.3,65.2,91.7,77.8,91,100,class_1
385,69,2,8.1,159,245,54,69.2,5.5,359,8.2,131,66,67.5,8,360,8.1,109,199,37,78,0.2,337,7.8,14,60,15,81.8,310,29.1,59.3,97.5,88.8,76.6,92.9,84.2,89.7,100,class_1
459,33,1.7,8.1,160,239,41,74.5,4.7,336,8.1,198,52,75.2,5.2,321,8.1,128,195,38,84.3,0.5,335,7.8,23,89,16,87,371,44.8,53.2,90.4,85.5,68.2,89.5,78.5,87.8,100,class_1
140,271,0.47,8.2,65,68,11,71.9,3,247,8.2,70,17,70.3,3,168,8.1,75,85,25,80.5,0.2,194,7.7,11,23,4,90.9,137,23.2,44.6,93.3,88.1,78.9,90.3,83.9,91.4,100,class_1
158,189,1.2,8.2,83,96,23,73.7,4.3,261,8.2,172,21,74.4,3.5,242,8.2,89,148,20,83.8,0.2,321,7.8,12,58,7,94.3,305,51,52.6,94.3,88.6,72.6,90.7,75.4,90.8,100,class_1
176,269,18.2,8.1,79,88,45,65.3,7,391,8.1,93,37,66,4.5,379,8.2,82,60,20,78.4,0.2,384,7.8,16,47,13,85,395,29.3,60.6,95.6,85,64.8,88.1,77.8,89.8,100,class_1
212,286,1.5,8.3,92,99,39,84.8,4.5,166,8.3,167,43,78,5.5,234,8.3,73,105,21,89.5,0.2,254,7.8,17,21,12,90.5,281,55.4,62,96.4,83.1,81.8,88.4,86.2,89.7,100,class_1
265,31,1.02,7.9,87,126,28,75.3,3.8,173,7.9,83,21,79.5,3,158,7.9,104,150,37,84,0.6,203,7.7,13,24,7,71.4,228,12.9,35.9,80,89,83.7,90.3,86.8,91.4,100,class_1
513,459,1.5,8.2,51,55,75,40.6,3,227,8.1,46,73,38.5,2.5,173,8,31,32,30,55.6,0.2,240,7.7,7,28,7,71.4,329,42.1,65.4,92,86.4,68,92.1,81.3,94.5,100,class_1
175,466,0.8,8.2,58,23,20,65.8,4,327,8.2,26,12,66.7,1.4,324,8,35,3,20,70.3,0.2,311,7.7,11,2,11,82.2,317,28,46.4,85.7,82.4,78.3,89.8,89.7,87.7,100,class_1
264,36,2.24,8.4,106,130,41,70.2,4,411,8.2,123,48,66.7,4,406,8,79,108,25,78,0.3,401,7.9,14,59,12,78.9,402,40.4,61,93.8,86.2,67.8,90.8,78.1,89.9,100,class_1
298,12,2.12,8.2,108,213,74,73.2,6.5,311,8.2,34,80,66.4,7,306,8.2,79,145,56,72.7,1.3,308,7.7,6,43,12,73.7,368,40.2,51.8,82.1,92.3,77.2,94.9,85.9,92.5,100,class_1
351,95,0.6,8.1,150,251,47,78,4.5,395,8.2,174,63,74.2,6.5,395,8,114,199,36,81.6,0.2,393,7.8,9,59,6,89.2,390,42.6,59.2,97.7,92.2,76.9,94.7,85,93.5,100,class_1
402,7,2.1,8.1,181,277,69,75.4,8.5,405,8,202,92,71.1,11.5,388,8,135,215,46,82.5,0.2,403,7.8,15,91,11,83.3,405,45.7,62.5,98.3,90.2,71.4,93.7,83.2,92.6,100,class_1
193,495,3.6,7.9,184,93,128,33.6,6,18,7.9,110,138,33.8,7.5,31,7.9,56,52,41,64.2,0.2,39,7.9,9,47,9,80,36,47.8,79.6,97.3,87.9,63,95.8,78.3,96.9,100,class_1
481,391,3.3,7.7,61,54,38,73.6,2.5,314,8,36,10,68.7,2,316,8,26,53,14,73.5,0.5,277,7.7,21,60,14,83.8,312,41.5,49.3,75,67.1,56.9,83.3,69.9,88.5,100,class_1
23,278,0.7,7.9,79,64,21,66.2,2.5,57,8,64,22,65.8,3,56,7.9,41,94,20,86.5,0.4,85,7.7,12,51,5,83.3,117,41.8,53.2,88.3,82.6,68.5,90.5,74.3,91.9,100,class_1
75,273,3.8,8.1,103,154,35,68.2,4.5,378,8,107,53,63.6,5.7,378,7.9,81,196,48,79.7,1.2,382,7.8,16,111,9,87.5,393,34.7,46.4,78.9,84.8,58.6,89.6,64,90.9,100,class_1
93,83,4.7,8,127,244,71,67.7,7,183,8.1,153,55,67.9,5,235,8.1,103,212,38,80.4,0.6,197,7.8,11,47,6,86.2,194,39.6,54.5,88,90.3,81.8,93.1,86.5,94.8,100,class_1
110,87,2.1,7.9,125,244,64,71.8,5.5,399,7.9,193,79,72.3,5,397,7.9,141,220,45,78.6,1,396,7.8,14,74,11,88.9,394,37.8,58.8,80,91.2,76.4,91.6,81.6,92.3,100,class_1
142,26,1.6,8,113,194,68,63.6,5.5,88,8,167,104,60.6,6.5,89,7.9,67,117,41,73.6,0.4,108,7.7,21,56,14,76.2,139,57.6,68.8,94.6,78.8,70,87.6,82.4,91.3,100,class_1
162,67,1.24,8,90,179,31,70.2,4.3,203,8,84,26,69.9,3,167,7.9,16,201,40,78.8,0.1,180,7.6,20,72,15,86.4,95,48.7,37.3,96.7,76,73.7,86.6,78.2,86.9,100,class_1
180,50,0.98,8,134,137,27,68.8,4.5,391,8.2,147,32,64,5,389,8,116,207,34,77.1,0.6,326,7.7,16,67,15,83.6,330,31.1,46.1,88,88.1,76,91.1,76.5,86.3,100,class_1
283,479,1.7,7.7,7,11,8,49.2,2.5,30,7.7,12,5,45.9,1.8,34,7.6,13,39,16,62.9,0.2,23,7.6,17,45,11,83.3,62,37.8,42.6,88.9,65.6,60,70.8,60,85.2,100,class_1
302,443,2.6,7.9,15,10,30,36.1,1.2,52,8,11,52,32.1,1.9,85,8,22,25,28,48.8,0.2,53,7.7,11,20,7,85.7,42,25.8,60.6,92.1,79.2,69.6,83.1,87,91.6,100,class_1
321,419,4.2,7.4,94,80,61,47.4,3.5,117,7.7,31,52,50.5,3,126,7.8,46,197,58,57.4,1.3,163,7.7,11,67,11,77.8,183,22.4,37.6,56.7,84.5,74.5,91.8,71.1,92.1,100,class_1
338,358,3.28,7.9,85,196,27,67.5,3.1,213,7.9,108,16,65.8,3,188,7.9,82,161,25,80.5,0.2,230,7.8,13,32,11,79.8,223,34.5,43.8,93.3,87.2,69,90.2,72.2,88.8,100,class_1
427,180,3.03,8.1,105,164,30,72.3,4,330,8.1,118,73,70,5.5,363,8.1,15,178,37,76,0.8,355,7.7,10,24,6,84.6,321,70,61.5,85.5,78.1,85.2,92.8,88.3,92.2,100,class_1
461,289,2.57,8,122,242,39,72.8,4.5,392,8,186,34,74.7,4.3,383,8,117,166,32,74.5,0.5,365,7.8,12,64,7,92.9,359,45.8,48.4,89.4,90.5,72.3,92.5,83.3,92.4,100,class_1
230,54,7.6,7.9,115,192,53,75.5,5,83,7.9,150,66,70.7,6.5,99,8.1,103,100,30,84.4,0.3,97,7.8,14,1,7,88.6,121,38.9,63.4,96.2,88.3,92.2,91.2,95.7,93.4,100,class_1
282,16,4.19,7.7,158,147,34,73.6,4.5,168,7.9,210,87,67.1,8,168,7.9,70,157,38,78.4,0.5,206,7.7,13,69,12,86.3,209,67.7,65.1,94.4,86,69.9,93.3,76.6,89.1,100,class_1
382,203,3.5,8.1,140,114,28,76.5,4,347,8.1,164,22,74.7,4.5,347,8.1,107,146,21,86.8,0.4,340,7.8,14,65,8,83.3,324,42.1,51.9,92.2,88.6,70.1,92.2,75,90.7,100,class_1
225,171,1,8.2,133,193,30,72.3,5.5,172,8.3,164,41,75.5,5,174,8.2,109,172,31,73.9,0.5,202,7.8,12,59,6,39.2,150,41,53.1,90,90.1,74.5,92.8,81.7,92.2,100,class_1
278,236,2.7,8.2,59,241,41,76.6,5.3,162,8.2,126,58,73.9,5,169,8.2,101,172,32,80.9,0.4,195,7.7,10,44,4,86.4,184,31.2,59.1,92,90.8,78.9,90.5,87,94.1,100,class_1
349,115,2.6,8.2,190,260,75,67.2,7,188,8.3,162,62,67.2,5.5,196,8.2,125,199,48,66.1,0.9,167,7.9,16,35,4,80,82,32.8,50.4,83.6,88.9,83.3,94,89.6,95.7,100,class_1
12,451,1.3,7.5,35,54,4,73.7,2.5,68,7.6,28,16,64.4,2,52,7.6,46,88,16,77.1,0.3,63,7.6,8,72,3,96,69,20.5,52.1,87.5,87.6,59.1,90.2,65.7,91.2,100,class_1
202,409,4.1,7.8,45,56,26,55.7,3,215,7.9,46,22,54.4,2.5,223,7.9,41,57,20,73,0.3,179,7.7,10,39,5,75,95,34.3,53.2,88,84.8,68,89.5,77.6,92.4,100,class_1
391,251,1.7,7.9,53,45,27,56.3,2,256,7.9,60,30,57.5,3,236,7.8,63,134,28,74.4,0.3,258,7.6,14,47,7,85.7,267,26,50.6,90,84.2,74.9,87.3,72.8,91.3,100,class_1
503,502,3.5,7.6,23,20,86,34.3,3.5,0,7.6,27,85,36.1,3,0,7.5,23,18,36,44.9,0.5,3,7.4,11,32,7,85.7,18,39.7,66,83.3,79.5,60.4,85,72.2,95,100,class_1
520,499,3.7,7.3,10,17,37,32.2,1.8,22,7.4,5,42,34.3,1.5,18,7.5,5,11,20,45.9,0.3,9,7.4,6,24,3,80,0,46.4,62.6,80,77.8,59.2,87.5,75,94.4,100,class_1
60,500,0.6,7.5,20,14,7,56.7,1.5,104,7.5,28,15,51.4,1.3,107,7.6,21,54,2,66.7,0.2,131,7.5,9,9,3,68,168,41.8,62.5,84,81.7,83.7,86.2,82.5,91.7,100,class_1
200,232,0.56,7.8,171,196,52,73.3,4.5,118,7.9,118,55,68.8,6,128,7.9,118,148,47,79.3,0.1,111,7.7,18,58,15,78.8,65,20.2,48.2,98.3,87.1,72.6,91.9,82,89.5,100,class_1
389,197,0.77,7.8,183,253,59,67.9,5.5,144,7.9,191,77,71.6,5,138,7.9,106,144,31,73.9,0.4,125,7.8,19,47,16,81.2,123,51.5,65.7,93,85.4,75.8,92.6,87.2,89.7,100,class_1
431,249,0.76,8.1,149,208,35,75,5.5,249,8.2,215,62,68.1,5,288,8.1,97,150,29,75,0.1,269,7.9,16,57,12,77.6,268,62.7,63,98,86.5,73.1,91.7,82.9,89.2,100,class_1
482,24,2.2,7.5,179,179,85,78.4,4.3,216,7.6,153,34,69.2,3.9,216,7.6,80,156,26,83.3,0.3,204,7.6,11,79,6,96.2,205,48.6,53.8,92.3,88.5,66.7,94.9,76.7,95.3,100,class_1
501,130,0.7,7.7,168,155,43,67.7,6,90,7.9,203,76,58.6,7,94,7.9,94,152,32,70.2,0.6,114,7.7,12,83,8,97.8,78,59.7,64.7,91.4,89,65,94.1,74,92.2,100,class_1
43,343,0.6,7.8,148,239,53,70.8,5.5,167,7.9,136,52,67,5.5,197,7.9,108,186,31,80.4,0.2,209,7.8,16,54,6,92.3,175,31,57.8,96.4,87.5,77.1,91.7,85,93.9,100,class_1
94,103,0.7,7.5,77,131,68,55.4,5.3,25,7.7,111,71,54.7,5.5,33,7.7,84,102,34,79.2,0.4,49,7.6,9,5,3,90,51,34.5,62.5,93.6,90.4,89.6,92.2,93.1,95.9,100,class_1
111,137,0.4,7.9,116,178,46,70.7,5,236,7.9,104,50,70.1,5.5,255,7.9,79,140,31,76.1,0.3,192,7.8,11,43,15,63.6,110,34.7,57,94.5,88.5,76.7,92.7,84.5,88.9,100,class_1
233,73,1.98,7.9,169,77,31,66.7,4,41,7.9,130,43,63,3.5,28,7.8,49,74,25,80.5,0.3,41,7.7,10,24,9,82.5,54,55.8,59,91.4,86,77.4,94.8,84.1,90.5,100,class_1
285,243,2.9,7.7,190,285,133,59.7,14,139,7.8,202,141,55.9,15.5,181,7.9,118,68,38,80.4,0.4,203,7.8,19,73,13,96.7,210,52.4,82.2,97.4,86.5,69.2,93.1,88.1,96.8,100,class_1
99,240,0.8,7.6,88,127,32,69.4,4,85,7.7,72,42,66.7,3,77,7.6,38,59,14,82.4,0.2,67,7.7,10,47,9,87.5,84,46.4,65.7,93.3,84.3,64.4,92.1,80.9,90.6,100,class_1
116,49,5.7,7.7,108,241,74,59.8,6,105,7.7,87,67,61,4,112,7.7,69,162,52,77,0.6,95,7.6,16,128,11,100,96,34.1,50,85,83.3,33.5,89.8,60.4,92.9,100,class_1
132,502,1.1,7.6,60,148,51,57.7,4.3,279,7.7,33,40,60.8,4,314,7.7,45,137,54,65.6,0.7,278,7.8,13,83,15,83.6,279,24.4,34,82.5,82.3,63.1,88.6,73.3,89.4,100,class_1
150,259,0.7,7.6,60,108,68,61.2,4,154,7.7,126,83,62.9,7,121,7.7,70,133,59,62.3,0.7,126,7.8,40,131,54,86.5,211,45.2,50.7,90,13.2,1.4,29.5,19.2,57,100,class_1
361,79,1.4,7.5,99,39,21,67.5,2,296,7.5,54,10,77.6,1.7,301,7.6,47,50,4,89.3,0.1,301,7.7,10,58,14,85.7,332,33.8,58.2,94.1,85.7,57.1,92.6,67.7,85.8,100,class_1
521,64,0.92,7.7,57,70,31,64.3,4.3,40,7.7,78,66,58.5,5.9,41,7.7,65,42,52,64.5,0.2,47,7.6,12,32,8,80,45,32.9,49.6,96.6,86.2,67.8,89,81.2,91.1,100,class_1
62,93,1.5,7.5,173,228,104,67.9,7,338,7.6,188,108,56.3,9,342,7.8,103,136,26,66.7,0.2,343,7.7,17,26,12,77.9,348,51.1,75.9,98.3,86.4,82.2,92.4,89.9,94.1,100,class_1
360,100,1.94,7.7,52,122,36,65.2,4.5,305,7.7,53,34,68.1,3.5,336,7.8,59,112,12,84.8,0.2,360,7.8,11,65,15,77.3,365,25.2,63.7,95.7,86.4,66.2,89.3,75.8,87.6,100,class_1
471,47,0.45,7.9,62,72,45,64.3,2.5,23,7.8,69,43,69,3,17,7.9,39,68,17,81.7,0.2,25,8,12,17,15,85.5,24,44.8,64.5,95,82.2,80,89.4,86.1,88.8,100,class_1
259,29,0.2,7.5,64,67,9,82.3,2.5,46,7.6,69,11,70.6,2.5,44,7.7,46,44,8,91.9,0.2,51,7.9,6,19,5,90,38,40.5,54.4,94,89.7,75.5,93.5,85,90.3,100,class_1
275,23,0.13,7.6,90,41,11,71.9,1.8,32,7.6,15,4,85,2,40,7.7,37,44,12,84.9,0.1,48,7.9,7,27,7,82.9,41,13.7,45,95,87.5,71.3,93.9,79.6,89.1,100,class_1
346,151,0.32,7.8,103,97,33,68.6,4,29,7.8,115,39,68.8,4.5,35,7.7,49,64,24,73.8,0.1,28,7.9,13,61,9,90,23,34,58.3,97.8,83,59.1,91.1,74.6,90.7,100,class_1
428,99,5,7.6,57,232,40,69.9,3.4,303,7.7,59,53,72.7,4.5,282,7.7,46,112,31,78.3,0.2,322,7.6,19,99,14,81,366,46.4,58.2,95.6,88.3,52.9,89,75.8,88.7,98.5,class_2
498,372,6,7.8,92,246,78,64.1,5,283,7.8,90,99,67.5,6.5,287,7.8,133,201,50,72.1,0.4,299,7.5,17,49,19,84.6,314,24.8,61.9,93.8,89.1,79.8,91.3,86.2,90.1,99,class_2
5,430,7.5,7.9,50,111,53,62.3,3.5,168,7.9,5,35,65.2,4.7,183,7.8,52,159,31,73.9,0.5,188,7.5,19,48,13,75,180,25.2,50,89.4,82,76.6,89.4,79.5,90.6,98.6,class_2
460,318,0.7,8.2,142,218,49,66.7,6.7,312,8.3,123,49,66,10.5,289,7.9,130,188,29,81.8,0.2,245,7.5,37,89,45,81.4,237,13.8,58.5,98.6,75,67.3,79.8,77.1,71.1,99.3,class_2
38,109,0.9,7.5,83,127,32,76.5,3.5,78,7.6,61,32,75.3,4,87,7.7,112,148,38,82.4,0.2,110,7.5,18,62,26,90.9,133,40.2,42.7,96.3,86.6,71.3,92.9,77.1,80.6,98.6,class_2
90,242,1.2,8,114,192,79,65.2,5.2,237,8.1,141,92,65.8,8.5,309,7.9,104,192,37,80,0.4,315,7.5,19,70,31,88.4,319,11.1,67.1,95.3,85.2,73.1,88.7,79.3,85.6,99,class_2
299,264,2,7.7,103,59,28,67.9,4,125,7.7,66,37,68.1,4.5,122,7.7,67,118,44,74.5,0.7,141,7.5,26,71,37,74.1,190,26.3,41.5,84.4,74.6,64.7,84.4,67.1,72.2,98.8,class_2
18,173,1,8.1,139,237,68,66.9,6.5,298,7.9,164,75,69.7,5.4,311,7.9,120,160,37,72,0.3,266,7.5,24,74,29,83.3,263,34.7,62.1,94.4,83.9,68.6,87.8,81.1,85.1,99.2,class_2
33,80,3.5,7.9,101,119,43,70.8,6.5,239,7.8,109,35,71.1,4.5,229,7.7,70,101,37,82,0.5,259,7.5,17,81,15,84.1,277,40.7,45.7,88.9,82.6,58.3,88.9,71.1,88.5,99.2,class_2
85,71,3.5,7.8,113,160,47,74,5,146,7.7,104,35,78.3,4.7,144,7.6,73,109,34,75,0.4,158,7.4,13,36,13,85,231,37.7,47.8,91.5,86.3,76.6,91.6,85.4,90,99,class_2
102,272,4.5,7.8,137,231,53,68.9,4.5,255,7.8,136,63,75,5.5,275,7.8,119,214,41,83,0.2,279,7.4,26,72,34,85.4,188,25.9,55.8,96.4,82.6,75.9,86.8,81.2,80.7,98.9,class_2
118,467,1.7,7.8,81,138,26,67.1,4,141,7.8,89,29,69.8,3.5,202,7.8,115,178,38,74.5,0.7,261,7.5,22,60,20,77.8,290,9.2,40.7,80,84.4,74.8,84.7,78.3,82.9,98.8,class_2
136,416,3.5,7.8,60,109,40,62.4,3.2,297,7.8,109,45,66.7,5,328,7.9,104,178,41,69.8,0.5,284,7.5,23,76,31,81.6,278,24,48,90,82.6,70.1,81.9,71.5,79.6,98.4,class_2
153,353,1.75,7.7,66,91,13,69.7,2.7,164,7.7,85,23,68.8,2.5,175,7.7,101,157,32,72.3,0.6,216,7.4,18,60,20,77.8,236,15.6,41.3,76,85.5,72.7,85.8,74,79.5,98.1,class_2
224,311,1,7.7,59,96,28,77.8,3.2,212,7.6,51,26,73.5,3.8,204,7.6,86,141,32,85.1,0.5,225,7.4,13,33,14,90.5,271,5.5,43.4,86.8,87.6,80.1,88.5,82.6,87,98.4,class_2
348,101,3.5,7.5,152,255,126,45.2,7.3,39,7.5,132,129,42.2,7.5,60,7.5,35,84,21,68.4,0.5,61,7.3,17,48,18,72,80,62.7,82.6,94,75.3,68.2,91.5,87.1,95,99.3,class_2
365,355,10,8.1,113,197,95,49.3,3.7,294,8,111,69,50.8,3.5,273,7.9,128,209,43,72.2,1.3,198,7.5,23,48,15,90.9,141,9.7,57.1,62.9,85.5,81,86.6,84.2,92.7,98.6,class_2
13,206,1.2,7.8,109,123,55,51.9,3.5,205,7.8,88,53,56.4,3.5,224,7.7,72,92,21,78.9,0.2,212,7.7,25,64,19,80.8,185,32.8,65.5,94.3,76.4,63,85.4,76.1,88,98.6,class_2
449,338,1,7.9,100,181,137,25.5,24,111,7.8,138,152,25.4,35,128,7.7,105,161,60,65.7,0.3,148,7.8,15,52,14,81,86,33.3,89.9,99.1,87.8,75.5,89.9,82.7,97.9,100,class_2
485,142,1,7.6,135,254,75,65.6,5.5,242,7.6,128,81,53.6,6.5,237,7.7,68,157,38,64.7,0.3,238,7.6,11,110,18,76.8,224,46.9,63,95.4,87.4,52.7,93.3,73.9,90.2,99.1,class_2
28,348,0.6,7.8,146,217,92,58.9,6.5,70,7.8,204,109,51.1,7,72,7.8,96,99,54,65.6,0.8,72,8,15,53,13,70,113,59.3,63.6,88.6,87.1,68.8,92,84.1,93.2,99.2,class_2
218,191,6,7.6,144,171,65,62.7,4.9,197,7.7,157,130,50,10,218,7.6,89,92,50,59,0.3,222,7.7,20,88,10,70.6,234,45.9,72.3,97,82.9,53.3,89.8,74.1,92.8,99,class_2
432,328,1.4,7.8,100,106,33,67.4,4,89,7.7,118,49,62.3,5.5,120,7.7,72,98,24,80,0.3,119,7.6,26,94,35,81,145,42.3,62.3,94.5,75.6,52.2,84.1,65.8,75.6,98.8,class_2
483,6,0.6,8.1,200,179,120,38.4,5,117,7.8,223,146,38.7,11.5,137,7.8,147,97,44,70.9,0.4,88,7.8,16,56,18,90.7,36,42,84.1,97,93,75.9,95,81.8,94.4,99,class_2
374,449,1,8.1,45,53,28,56.8,2.3,49,8.1,39,19,63.2,2.5,74,8,46,68,16,77.1,0.2,81,7.9,28,99,33,82.5,89,27.1,53.9,94,67,41.8,75.9,55.6,75.3,97.8,class_2
163,308,1.2,8.1,66,124,34,66.7,7,106,7.9,178,49,73.6,5.5,149,7.8,96,150,30,75.6,0.3,123,7.6,14,60,17,76.7,117,50.2,57.5,94.5,87.8,72.1,88.4,77.2,86.2,99.3,class_2
303,302,1,7.8,197,249,39,50,3.3,137,7.8,185,40,51.5,3,179,7.8,71,65,23,71.8,0.2,190,7.7,35,96,39,74.2,149,60.4,59.8,93.3,65.6,42.6,88.2,77.7,73.9,98.5,class_2
256,55,4.5,7.6,86,149,59,51.8,4.5,229,7.7,88,50,57,3.5,380,7.7,54,114,40,62.9,0.8,389,7.9,14,68,14,66.7,406,42.6,51.4,77.1,82.9,79,89.7,60,90.6,98.9,class_2
327,143,1,7.7,41,130,65,59.3,3.2,380,7.6,36,31,56.8,4,385,7.7,67,112,29,59.1,0.2,371,7.8,19,121,40,67.3,379,9.2,50,95,85.4,39.7,87.7,58.2,79.2,98.4,class_2
16,144,0.4,7.6,127,71,119,59,3.5,378,7.5,129,114,64.9,4,377,7.4,80,64,13,77.6,0.1,384,7.5,18,54,21,71.4,386,41.8,82.2,97.5,83.2,62.3,89.9,74.3,93,98.6,class_2
396,497,1.2,7.8,133,182,113,45.6,5.5,390,8,125,107,41,4.5,391,7.9,35,51,9,74.6,0.1,388,8,15,29,16,78.3,397,61.4,81.8,97.8,77.6,71.9,91.5,87.8,93.7,99.1,class_2
32,413,1,7.8,21,18,13,43.9,1.5,5,7.8,4,2,57.1,1.2,7,7.9,7,23,8,64.5,0.1,0,7.9,17,72,32,66.7,9,36.5,44.6,91.7,55.3,37.3,77.9,51.9,70.5,96.7,class_2
221,320,0.7,7.5,21,63,35,59.1,3,75,7.6,9,19,59.2,2.5,85,7.6,8,154,42,64.5,1.2,87,7.7,15,32,8,77.3,40,48.9,29.6,52,60.4,81.3,80,80.5,91.5,98.3,class_2
37,14,1.5,8.3,181,250,53,69.8,5.7,394,8.3,189,51,68.5,6.3,387,8.1,86,227,61,73.6,1.7,385,7.6,21,37,6,77.9,359,50.9,33.3,73,81.6,72.9,85.7,70.7,82.7,99.3,class_2
228,293,1.5,8.1,176,201,97,76.6,5.8,299,8.1,213,93,75.3,5.5,295,8.1,104,168,48,83.1,0.3,330,7.8,18,53,9,92.5,364,60.5,61.7,94.5,85.8,75.9,92.3,83.5,94.8,99.1,class_2
195,422,8.1,8,37,186,62,47.8,2.8,281,7.9,29,58,48.7,3,277,7.9,43,96,29,63.6,0.3,290,7.6,23,63,13,70,264,23.6,61.7,96.7,71.3,64.1,78.2,80.6,91.3,99.8,class_2
495,438,1.7,8.3,96,181,39,69.6,4,364,8.3,67,57,61.4,5.5,373,8.1,58,162,36,75.5,0.4,377,7.8,14,71,10,75.3,351,32.3,57,92.7,83.5,69.8,90.3,78.6,90.8,98.8,class_2
